addr,first_tx,funder,funder_date,fund_eth,ntx_first25,cotoken_linked
0x20c43c53f917761895cbc4f4db5898146f5f947a,2018-08-08,0x25c6459e5c5b01694f6453e8961420ccd1edf3b1,2018-08-08,0.37552,17,False
0x1a25c36a37f34c71caca39b948ba2aa3bce589bb,2018-08-08,0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,2018-08-08,0.43,16,False
0xdea170f61e52fb5ba539ad423493af1d8ba97065,2018-08-09,0xbbba199768f3d19928f634306e706ca719044a0b,2018-08-09,0.38,10,False
0x3c1e7a0b8620a82d4d2287b7a2f17ade19da7647,2018-08-10,0x26508c97dc644da00efb5dfdb8aab4d0a78084f4,2018-08-10,0.038,7,False
0x1b502885109e63b1d9b8b0d95902285e25b7b72d,2018-08-17,0x75a83599de596cbc91a1821ffa618c40e22ac8ca,2018-08-17,1.995,6,False
0x6b1f4bf392d45a309d23bfa2817953a056fd6be5,2018-08-06,0x9f198a28e246b604731b1029f72347dc9fd349e0,2018-08-06,0.13227,17,False
0xb0064c9c5a740931213c3151f5f8223d0ae59099,2018-08-09,0x1d1e10e8c66b67692f4c002c0cb334de5d485e41,2018-08-09,3.39949,9,False
0x580f76bfb384a0ac503271ef4bf7a3bfb23ea0b9,2018-08-09,0x1d1e10e8c66b67692f4c002c0cb334de5d485e41,2018-08-09,0.23253,13,False
0x49f3cd07421ed3273ed307dca56cbecc791db741,2018-08-07,0x4ce9f39d3a0426d8d1f2ad4fcff0b92e86b9b914,2018-08-07,0.21492,24,False
0x138b0d279c82a540fa6e61b42075f99aadd993fe,2018-08-08,0x1d1e10e8c66b67692f4c002c0cb334de5d485e41,2018-08-08,0.25968,17,False
0xb42fa5c743e50c2aa87aea5f97cce67c92b30047,2018-08-09,0x1d1e10e8c66b67692f4c002c0cb334de5d485e41,2018-08-09,0.995,19,False
0x3ba1a940c74409a4f67dec6abb24fa9c559ff87e,2018-08-18,0x56fe30440e7df4f790a49e0dae6e188a72910def,2018-08-18,10.0,18,False
